VcsUrl,JobName,Random,NonZeroBuildCount,MaxNonZeroBuildCountPerMonth,HitRule
https://github.com/influxdata/telegraf,deps,1606412816818401039,9778,397,False
https://github.com/decidim/decidim,build_test_app,10326754338185890772,9775,907,False
https://github.com/citusdata/citus,build,14615858228172400405,9658,1026,False
https://github.com/angular/angular,test_docs_examples_viewengine,9048945594089775749,9658,1385,False
https://github.com/all-of-us/workbench,api-integration-test,15242639129907208465,9654,899,True
https://github.com/gatsbyjs/gatsby,e2e_tests_gatsbygram,17341554237488075566,9633,1305,False
https://github.com/scipy/scipy,build_docs,12527149101085359026,9599,604,False
https://github.com/expo/expo,client_ios,13679982592698355407,9538,958,True
https://github.com/demisto/content,Server 5_0,3127468515992687692,9532,1760,False
https://github.com/all-of-us/workbench,api-bigquery-test,17917224806250997322,9518,891,True
https://github.com/facebook/jest,test-or-deploy-website,18437660158826565773,9517,735,False
https://github.com/PyTorchLightning/pytorch-lightning,build-Docs,7614339616162194983,9510,1979,False
https://github.com/tootsuite/mastodon,test-ruby2.6,13628884992504491222,9500,688,False
https://github.com/influxdata/influxdb,golint,17196489879985196378,9493,1312,False
https://github.com/expo/expo,docs,7089599539617014277,9469,859,True
https://github.com/grafana/grafana,build-fast-frontend,13316271158007941618,9461,1079,False
https://github.com/citusdata/citus,test-11_check-failure,9290084998763663411,9453,811,False
https://github.com/raiden-network/raiden,lint-3.7,11405507900540333308,9403,710,False
https://github.com/diem/diem,build-release,16208485732638511979,9400,3049,False
https://github.com/demisto/content,Server 5_5,10396496189427432784,9386,1704,False
https://github.com/plotly/plotly.js,test-syntax,12070823965941916160,9379,508,False
https://github.com/ethereum/solidity,build_x86_linux,8534207020830567395,9359,917,False
https://github.com/diem/diem,build-docs,9545359952874927515,9353,2485,False
https://github.com/expo/expo,client_android,16240311272884645091,9351,880,True
https://github.com/ethereum/solidity,chk_pylint,16246180521057761458,9342,1102,False
https://github.com/angular/components,bazel_build,5423181511991877742,9312,839,False
https://github.com/gatsbyjs/gatsby,starters_publish,15881045983153574128,9305,675,False
https://github.com/ant-design/ant-design,test_node_15,1464390488515723125,9291,733,False
https://github.com/Automattic/wp-calypso,wp-desktop-windows,14309434148938447128,9283,2111,False
https://github.com/angular/angular-cli,setup,5608701231488904764,9267,876,False
https://github.com/angular/angular-cli,test-browsers,7965665406257827713,9264,785,False
https://github.com/oppia/oppia,frontend_tests,14466313436254903702,9250,1030,False
https://github.com/ethereum/solidity,t_osx_cli,14698417893396872387,9235,709,False
https://github.com/Automattic/wp-calypso,wp-desktop-linux,13388228955877424343,9216,2086,False
https://github.com/betagouv/demarches-simplifiees.fr,build,13213739884680096927,9200,736,False
https://github.com/angular/angular,components-repo-unit-tests,10936400815314402444,9176,1353,False
